estacion,lineas,salida,lon,lat
Plaza ElÃ­ptica,"6, 11","Avenida Oporto, pares",-3.71848828640398,40.3852931498949
Berna,ML 2,Berna,-3.79111011769252,40.444715872721
Gregorio MaraÃ±Ã³n,"7, 10",Miguel Ãngel,-3.69138214122474,40.4379204067435
Concha Espina,9,Plaza de CataluÃ±a,-3.67768383070614,40.4495710040498
Parque Europa,12 (Metrosur),Francia,-3.80603298105847,40.2851760803063
Plaza de Castilla,"1, 10, 9",Castellana,-3.68885712617033,40.4654868362343
Plaza de Castilla,"1, 10, 9","PÂº Castellana, pares",-3.68918015208361,40.4668402137449
Plaza de Castilla,"1, 10, 9","PÂº Castellana, impares",-3.68953048663851,40.4671848419553
Valdeacederas,1,CapitÃ¡n Blanco Argibay,-3.69577753686292,40.4640979380323
Valdeacederas,1,AnÃ­bal,-3.69403145608069,40.4647857894633
TetuÃ¡n,1,Algodonales,-3.69926321197009,40.4598414313264
TetuÃ¡n,1,General Margallo,-3.69790070108878,40.4611889702122
Estrecho,1,Navarra,-3.70309124648773,40.4536406136057
Atocha,1,Atocha,-3.692508813094,40.408845368046
MenÃ©ndez Pelayo,1,Gutenberg,-3.68174005013948,40.4048512856121
Ascao,7,Ascao,-3.64113856947109,40.4301705769255
Banco de EspaÃ±a,2,Barquillo,-3.69578129445477,40.4190831121932
Estrecho,1,Juan de OlÃ­as,-3.70282603827374,40.4537045306557
Estrecho,1,Manuel Luna,-3.70253036110471,40.4552659766245
Estrecho,1,Fulgencio de Miguel,-3.70276191227639,40.4552977973116
Alvarado,1,"Bravo Murillo, impares",-3.70361345972551,40.4502251918575
Alvarado,1,"Bravo Murillo, pares",-3.70337510424987,40.4501324545612
Cuatro Caminos,"1, 2, 6","Reina Victoria, impares",-3.70423866837605,40.4467095743598
Cuatro Caminos,"1, 2, 6",Santa Engracia,-3.70363025793525,40.4465494773776
Cuatro Caminos,"1, 2, 6","Reina Victoria, pares",-3.70454067260812,40.4468899934453
Cuatro Caminos,"1, 2, 6",Bravo Murillo,-3.70410352637976,40.4473611923975
Cuatro Caminos,"1, 2, 6",Maudes,-3.70262006396867,40.4453418049152
Iglesia,1,General MartÃ­nez Campos,-3.69823935119106,40.4350640162489
Iglesia,1,Santa Engracia,-3.69848781953655,40.4347915271591
Iglesia,1,Sagunto - Acceso cerrado temporalmente,-3.69842180713605,40.4339259319726
Iglesia,1,"Eloy Gonzalo, pares",-3.69921373607524,40.4347309336093
Iglesia,1,"Eloy Gonzalo, impares",-3.69929180095092,40.4349050827295
Bilbao,"1, 4",Fuencarral,-3.70186383999244,40.429257933279
Bilbao,"1, 4",Luchana,-3.70165784419797,40.4290653950593
Bilbao,"1, 4",Manuela MalasaÃ±a,-3.7020261759477,40.4287797124465
Bilbao,"1, 4",Francisco de Rojas,-3.70026866830525,40.4302638532815
